Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA3
1980-03-17,0.0,5.12963,5.018519,5.037037,1.077434,62775,,
1980-03-18,0.0,5.111111,5.037037,5.074074,1.085356,64125,,
1980-03-19,0.0,5.166667,5.111111,5.148148,1.1012,40500,,5.086419666666667
1980-03-20,0.0,5.148148,5.092593,5.111111,1.093278,18900,,5.111111
1980-03-21,0.0,5.222222,5.111111,5.222222,1.117045,97200,5.1185184,5.160493666666667
1980-03-24,0.0,5.185185,5.092593,5.092593,1.089317,90450,5.1296295999999995,5.141975333333334
1980-03-25,0.0,5.111111,5.055556,5.074074,1.085356,72225,5.1296295999999995,5.129629666666666
1980-03-26,0.0,5.148148,5.037037,5.111111,1.093278,31725,5.1222222,5.092592666666667
1980-03-27,0.0,5.092593,4.925926,5.074074,1.085356,62100,5.1148147999999996,5.086419666666667
1980-03-28,0.0,5.074074,4.925926,5.018519,1.073473,84375,5.0740742,5.067901333333334
1980-03-31,0.0,5.185185,5.074074,5.166667,1.105162,55350,5.088889,5.08642
1980-04-01,0.0,5.259259,5.074074,5.111111,1.093278,126225,5.096296400000001,5.098765666666668
1980-04-02,0.0,5.296296,5.148148,5.296296,1.13289,58725,5.1333334,5.191358
1980-04-03,0.0,5.555556,5.407407,5.5,1.176463,311175,5.2185186,5.302468999999999
1980-04-07,0.0,5.62963,5.481481,5.537037,1.184385,115425,5.322222200000001,5.444444333333333
1980-04-08,0.0,5.5,5.444444,5.444444,1.164578,218025,5.3777776,5.4938270000000005
1980-04-09,0.0,5.407407,5.259259,5.37037,1.148734,181575,5.4296294,5.450617
1980-04-10,0.0,5.518519,5.37037,5.481481,1.172501,191700,5.466666399999999,5.432098333333333
1980-04-11,0.0,5.592593,5.462963,5.481481,1.172501,112050,5.4629626,5.444444
1980-04-14,0.0,5.481481,5.425926,5.462963,1.168541,18900,5.448147799999999,5.475308333333333
1980-04-15,0.0,5.425926,5.333333,5.333333,1.140812,63450,5.4259256,5.425925666666667
1980-04-16,0.0,5.425926,5.37037,5.425926,1.160618,30375,5.4370368,5.407407333333334
1980-04-17,0.0,5.388889,5.314815,5.333333,1.140812,43875,5.4074072,5.364197333333332
1980-04-18,0.0,5.388889,5.296296,5.296296,1.13289,27675,5.370370199999999,5.351851666666666
1980-04-21,0.0,5.277778,5.111111,5.166667,1.105162,83700,5.3111109999999995,5.265432
1980-04-22,0.0,5.333333,5.111111,5.333333,1.140812,122850,5.3111109999999995,5.265432
1980-04-23,0.0,5.333333,5.203704,5.333333,1.140812,132300,5.292592399999999,5.277777666666666
1980-04-24,0.0,5.333333,5.222222,5.296296,1.13289,209250,5.285185,5.320987333333333
1980-04-25,0.0,5.277778,5.203704,5.222222,1.117045,21600,5.2703702,5.283950333333333
1980-04-28,0.0,5.37037,5.277778,5.333333,1.140812,141750,5.303703399999999,5.283950333333333
1980-04-29,0.0,5.37037,5.314815,5.351852,1.144773,45225,5.3074072,5.302468999999999
1980-04-30,0.0,5.425926,5.296296,5.407407,1.156656,85050,5.322221999999999,5.364197333333333
1980-05-01,0.0,5.537037,5.425926,5.5,1.176463,48600,5.3629628,5.419753
1980-05-02,0.0,5.592593,5.462963,5.555556,1.188346,49950,5.4296296,5.4876543333333325
